beatCode,beatName,shortName,distributorCode,active,salesRepCode
N2P50850,T2-NV1,T2-NV1,120419,active,SM-4511
N2P50851,T2-NV2,T2-NV2,120419,active,SM-5967
N2P50852,T2-NV3,T2-NV3,120419,active,SM-7431
N2P50853,T2-NV4,T2-NV4,120419,active,SM-7812
N2P50854,T3-NV1,T3-NV1,120419,active,SM-4511
N2P50855,T3-NV2,T3-NV2,120419,active,SM-5967
N2P50856,T3-NV3,T3-NV3,120419,active,SM-7431
N2P50857,T3-NV4,T3-NV4,120419,active,SM-7812
N2P50858,T4-NV1,T4-NV1,120419,active,SM-4511
N2P50859,T4-NV2,T4-NV2,120419,active,SM-5967
N2P50860,T4-NV3,T4-NV3,120419,active,SM-7431
N2P50861,T4-NV4,T4-NV4,120419,active,SM-7812
N2P50862,T5-NV1,T5-NV1,120419,active,SM-4511
N2P50863,T5-NV2,T5-NV2,120419,active,SM-5967
N2P50864,T5-NV3,T5-NV3,120419,active,SM-7431
N2P50865,T5-NV4,T5-NV4,120419,active,SM-7812
N2P50866,T6-NV1,T6-NV1,120419,active,SM-4511
N2P50867,T6-NV2,T6-NV2,120419,active,SM-5967
N2P50868,T6-NV3,T6-NV3,120419,active,SM-7431
N2P50869,T6-NV4,T6-NV4,120419,active,SM-7812
N2P50870,T7-NV1,T7-NV1,120419,active,SM-4511
N2P50871,T7-NV2,T7-NV2,120419,active,SM-5967
N2P50872,T7-NV3,T7-NV3,120419,active,SM-7431
N2P50873,T7-NV4,T7-NV4,120419,active,SM-7812
